Study.Name	PlotOrder	Inclusion	HA.Analysis	RA.Analysis	Study.Number	Short.Citation	from Blaustein?	Host.Species	Host.Collection.Location	local or endemic Bd strain	Local Lineage	where local/endemic strain collected	non-local or non-endemic Bd strain	non-local Lineage	where non-local strain collected	outcome of local strain infection	outcome of non-local strain infection	mortality.local.or.endemic.Bd	n.local.or.endemic.Bd	mortality.nonlocal.or.pandemic.Bd	n.nonlocal.or.pandemic.Bd	Historical.coexistence	host.adult.ecology	reproductive.mode	life.stage.exp	exposure dose	comments	Control.mortality	Amount.Cont.mortality
Dendropsophus minutus.7d	D	Yes	Y	N	7d	Greenspan et al. 2019 Scientific Reports	N	Dendropsophus minutus	Brazilian Atlantic Forest	"three Bd-Brazil isolates (CLFT 041, CLFT 142, CLFT 150)"	Bd-Brazil	Brazilian Atlantic Forest	CLFT137	Bd-GPL	Brazilian Atlantic Forest	"moderate survival (40), low to moderate infection loads (~10^3)"	"moderate survival (47), moderate to high infection loads (10^4-10^5)"	40	30	50	10	Yes	arboreal	"aquatic, tadpole"	adult	1.8 _ 10^6 zoospores in 2.5 ml of distilled water for 45 minutes		Yes	15
Hymenochirus curtipes.8	C	Yes	Y	N	8	Jenkinson et al. 2018 Proc B		Hymenochirus curtipes	Captive purchase	"Serra do Japi, SP 2013; Serra da Graciosa, PR 2014"	Bd Brazil	Brazilian Atlantic Forest	"Serra dos Orgãos, RJ 2013;Serra da Graciosa, PR 2014"	Bd-GPL	Brazilian Atlantic Forest	"BrazilB = 0, BrazilA = 56.3"	"GPLA = 50, GPLB = 24.7"	28.15	32	37.35	32	No	aquatic	"aquatic,tadpole"	adult	5 mL exposure bath with 2.5 x 105 zoospores per mL		No	0
Ischnocnema parva.7e	B	Yes	Y	N	7e	Greenspan et al. 2019 Scientific Reports	N	Ischnocnema parva	Brazilian Atlantic Forest	CLFT150	Bd-Brazil	Brazilian Atlantic Forest	CLFT156	Bd-GPL	Brazilian Atlantic Forest	less virulent - greater survival (60)	more virulent - no survival (0)	40	5	100	6	Yes	terrestrial	direct development	adult	1.8 _ 10^6 zoospores in 2.5 ml of distilled water for 45 minutes		No	0
Litoria caerulea.6b	A	Yes	Y	N	6b	Fu and Waldman 2019 Molecular Ecology	N	Litoria caerulea	New Guinea	Bd-Asia1	Bd-Asia1	South Korea	Abercrombie R-L. booroolongensis	Bd-GPL	"New South Wales, Australia"	"high virulence/susceptibility - higher than GPL!! 100 mortality by ~80 DPI, loads at high level and increased toward end of experiment to 10^5"	high virulence/susceptibility - mortality throughout with only ~10-20 surviving at 100 DPI; loads stayed moderately high around 10^2-10^4 throughout the experiment	100	15	86.66666667	15	No	arboreal	"aquatic, tadpole"	adult	5 x 10^5 zoospores + 50 ml UV filtered water		Yes	16.7
Bufo bufo		No	Y	N		Greener et al. 2020 Nature	N	Bufo bufo	"Flanders, Belgium"	Local Bd-GPL collected from A. obstetricans (BdBE1)	Bd-GPL	Belgium	JEL423	Bd-GPL	Panama	no mortality	no mortality	0	5	0	5	NA	terrestrial	"aquatic, tadpole"	metamorph	1x10^6 fo 24h		No	0
Bufo gargarizans.		No	Y	N		Fu and Waldman 2019 Molecular Ecology	N	Bufo gargarizans	South Korea	Bd-Asia1	Bd-Asia1	South Korea	Abercrombie R-L. booroolongensis	Bd-GPL	"New South Wales, Australia"	"low virulence/susceptibility; Bd loads decreased over time and eventually appeared to clear, suggesting resistance"	"low virulence/susceptibility; Bd loads decreased over time and eventually appeared to clear, suggesting resistance"	0	16	0	14	Yes	terrestrial	"aquatic,tadpole"	adult	6-8 x 10^6 zoospores + 95 ml UV filtered	"listed as 6~8 x 10^6 zoospores, assume that means ~6-8"	No	0
Epidalea calamita		No	Y	N		Greener et al. 2020 Nature	N	Epidalea calamita	"Flanders, Belgium"	Local Bd-GPL collected from A. obstetricans (BdBE1)	Bd-GPL	Belgium	JEL423	Bd-GPL	Panama	no mortality	no mortality	0	5	0	5	NA	terrestrial	"aquatic, tadpole"	metamorph	1x10^6 fo 24h		No	0
Hyla arborea		No	Y	N		Greener et al. 2020 Nature	N	Hyla arborea	"Flanders, Belgium"	Local Bd-GPL collected from A. obstetricans (BdBE1)	Bd-GPL	Belgium	JEL423	Bd-GPL	Panama	no mortality	no mortality	0	5	0	5	NA	terrestrial	"aquatic, tadpole"	metamorph	1x10^6 fo 24h		No	0
Hyla japonica.		No	Y	N		Fu and Waldman 2019 Molecular Ecology	N	Hyla japonica	South Korea	Bd-Asia1	Bd-Asia1	South Korea	Abercrombie R-L. booroolongensis	Bd-GPL	"New South Wales, Australia"	"low virulence/susceptibility; Bd loads decreased over time and eventually appeared to clear, suggesting resistance"	"low virulence/susceptibility; Bd loads decreased over time and eventually appeared to clear, suggesting resistance"	0	12	0	13	Yes	arboreal	"aquatic, tadpole"	adult	6 x 10^5 + 5 ml UV filtered water		No	0
Ichthyosaura alpestris		No	Y	N		Greener et al. 2020 Nature	N	Ichthyosaura alpestris	"Flanders, Belgium"	Local Bd-GPL collected from A. obstetricans (BdBE1)	Bd-GPL	Belgium	JEL423	Bd-GPL	Panama	no mortality	no mortality	0	5	0	5	NA	terrestrial	"aquatic, tadpole"	metamorph	1x10^6 fo 24h		No	0
Pelobates fuscus		No	Y	N		Greener et al. 2020 Nature	N	Pelobates fuscus	"Flanders, Belgium"	Local Bd-GPL collected from A. obstetricans (BdBE1)	Bd-GPL	Belgium	JEL423	Bd-GPL	Panama	no mortality	no mortality	0	5	0	5	NA	terrestrial	"aquatic, tadpole"	metamorph	1x10^6 fo 24h		No	0
Salamandra salamandra		No	Y	N		Greener et al. 2020 Nature	N	Salamandra salamandra	"Flanders, Belgium"	Local Bd-GPL collected from A. obstetricans (BdBE1)	Bd-GPL	Belgium	JEL423	Bd-GPL	Panama	no mortality	no mortality	0	5	0	5	NA	terrestrial	"aquatic, tadpole"	metamorph	1x10^6 fo 24h		No	0
Triturus cristatus		No	Y	N		Greener et al. 2020 Nature	N	Triturus cristatus	"Flanders, Belgium"	Local Bd-GPL collected from A. obstetricans (BdBE1)	Bd-GPL	Belgium	JEL423	Bd-GPL	Panama	no mortality	no mortality	0	5	0	5	NA	terrestrial	"aquatic, tadpole"	metamorph	1x10^6 fo 24h		No	0
